Projekt;Phase;Bezeichnung;Status;Verrechenbar
3079;011;Projektleitung;A;J
3079;012;Implement verr.;A;J
3079;013;Implement nicht verr.;A;J
3079;014;Consulting REWE;A;J
2114;000;***** nicht verrechenb. Leistungen *****;A;J
2114;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
2114;020;div. Tätigkeiten NV ;A;J
2114;030;Wegzeit NV;A;J
2114;100;*** Allgem.-Implement. verrechenbar ***;A;J
2114;110;Projektmanagement;A;J
2114;120;Protokollierung WaWi+ReWe;A;J
2114;130;Installation rs2 + DB;A;J
2114;200;*** WAWI-Implement. verrechenbar ***;A;J
2114;220;EINKAUF I+S;A;J
2114;225;LAGER I+S;A;J
2114;230;VERKAUF I+S;A;J
2114;235;@CALL&WARTUNG I+S;A;J
2114;250;@PPS I+S;A;J
2114;289;@Sonstige Module I+S Archiv;A;J
2114;290;@Unterstützung Echtbetrieb (GoLive);A;J
2114;300;*** REWE-Implement. - verrechenbar ***;A;J
2114;310;Analyse Prozesse/Organisation;A;J
2114;320;FIBU I+S;A;J
2114;330;@KORE I+S;A;J
2114;360;@IÜRG I+S;A;J
2114;390;@Unterstützung Echtbetrieb (GoLive);A;J
2114;500;*** Sonstige Implement. verrechenbar*** ;A;J
2114;510;Altdatenübernahme;A;J
2114;515;Reports, Masken, rs2 Admin;A;J
2114;520;@Schnittstellen zu Fremdsystemen;A;J
2114;530;@Kore-Konzept;A;J
2114;555;@INFO Module nach GoLive (zB. Statistik);A;J
2116;011;Projektleitung;A;J
2114;585;@Sonst. vertragl. nicht geplante Zeiten;A;J
2114;590;@Wegzeiten verrechenbar;A;J
2116;012;Implementierung verr.;A;J
2116;013;Implementierung nicht verr.;A;J
2116;014;Consulting REWE;A;J
2114;210;Analyse Prozesse/Organisation;A;J
2112;288;@Inbetriebnahme Kassenschnittstelle;A;J
2112;150;Planung Phase-2 Barcode, EDI, WebShop;A;J
2112;000;***** nicht verrechenb. Leistungen *****;A;J
2112;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
2112;020;div. Tätigkeiten NV ;A;J
2112;030;Wegzeit NV;A;J
2112;100;*** Allgem.-Implement. verrechenbar ***;A;J
2112;110;Projektplanung / Überwachung,;A;J
2112;120;Protokollierung WaWi+ReWe;A;J
2112;130;Installation rs2 + DB;A;J
2112;200;*** WAWI-Implement. verrechenbar ***;A;J
